,Time,all.datatransfer.all,all.request.count,cluster.node_count,cluster.node_cpu_count,current_operation,environment,fail.datatransfer.all,fail.datatransfer.max,fail.datatransfer.mean,fail.datatransfer.min,fail.datatransfer.percent50,fail.datatransfer.percent75,fail.datatransfer.percent95,fail.datatransfer.percent99,fail.latency.max,fail.latency.mean,fail.latency.min,fail.latency.percent50,fail.latency.percent75,fail.latency.percent95,fail.latency.percent99,fail.latency.stddev,fail.request.count,fail.request.rps,latency_count.less_or_eq_800,latency_count.more_800_less_1200,latency_count.more_or_eq_1200,node_type,ok.datatransfer.all,ok.datatransfer.max,ok.datatransfer.mean,ok.datatransfer.min,ok.datatransfer.percent50,ok.datatransfer.percent75,ok.datatransfer.percent95,ok.datatransfer.percent99,ok.latency.max,ok.latency.mean,ok.latency.min,ok.latency.percent50,ok.latency.percent75,ok.latency.percent95,ok.latency.percent99,ok.latency.stddev,ok.request.count,ok.request.rps,scenario,session_id,simulation.value,status_code.count,status_code.status,step,test_name,test_suite
35,2024-02-07 14:06:41,0,222632,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.24,0.33,0.06,0.27,0.47,0.79,1.06,0.23,222632,44526,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
36,2024-02-07 14:06:46,0,223626,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.18,0.33,0.08,0.27,0.47,0.79,1.05,0.23,223626,44725,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
37,2024-02-07 14:06:46,0,223626,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.18,0.33,0.07,0.27,0.47,0.78,1.05,0.23,223626,44725,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
38,2024-02-07 14:06:51,0,222587,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,56.6,0.34,0.08,0.26,0.46,0.78,1.04,0.44,222587,44517,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
39,2024-02-07 14:06:51,0,222587,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,56.6,0.33,0.07,0.25,0.46,0.78,1.04,0.44,222587,44517,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
40,2024-02-07 14:06:55,0,227108,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.15,0.33,0.08,0.26,0.46,0.77,1.02,0.23,227108,45422,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
41,2024-02-07 14:06:55,0,227108,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.15,0.33,0.08,0.25,0.46,0.77,1.02,0.23,227108,45422,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
42,2024-02-07 14:07:00,0,229386,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.1,0.33,0.08,0.25,0.46,0.76,1.01,0.22,229386,45877,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
43,2024-02-07 14:07:00,0,229386,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.1,0.32,0.07,0.25,0.45,0.76,1.01,0.22,229386,45877,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
44,2024-02-07 14:07:06,0,236240,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.13,0.32,0.08,0.23,0.45,0.74,0.98,0.22,236240,47248,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
